item_0851 beast
item_0016 cherish
item_0007 dive
item_0576 dream
item_0013 dusk
item_0492 fast
item_1713 feather
item_0497 friend
item_1750 gigaton
item_0003 great
item_0014 heal
item_0495 heavy
item_1711 hisuian-great
item_1748 hisuian-heavy
item_1710 hisuian-poke
item_1712 hisuian-ultra
item_1747 jet
item_1749 leaden
item_0493 level
item_0496 love
item_0494 lure
item_0011 luxury
item_0001 master
item_0498 moon
item_0008 nest
item_0006 net
item_1771 origin
item_0500 park
item_0004 poke
item_0012 premier
item_0015 quick
item_0009 repeat
item_0005 safari
item_0499 sport
item_1785 strange
item_0010 timer
item_0002 ultra
item_1746 wing
item_0645 ability-capsule
item_0018 antidote
item_0021 awakening
item_0043 berry-juice
item_0852 big-malasada
item_0019 burn-heal
item_0049 calcium
item_0048 carbos
item_0591 casteliacone
item_0569 clever-wing
item_0040 elixir
item_0034 energy-powder
item_0035 energy-root
item_0038 ether
item_0030 fresh-water
item_0027 full-heal
item_0023 full-restore
item_0568 genius-wing
item_0036 heal-powder
item_0565 health-wing
item_0045 hp-up
item_0025 hyper-potion
item_0020 ice-heal
item_0047 iron
item_0042 lava-cookie
item_0032 lemonade
item_0708 lumiose-galette
item_0041 max-elixir
item_0039 max-ether
item_1579 max-honey
item_0024 max-potion
item_0029 max-revive
item_0033 moomoo-milk
item_0566 muscle-wing
item_0054 old-gateau
item_0022 paralyze-heal
item_0903 pewter-crunchies
item_0017 potion
item_0053 pp-max
item_0051 pp-up
item_0046 protein
item_0504 rage-candy-bar
item_0050 rare-candy
item_0567 resist-wing
item_0037 revival-herb
item_0028 revive
item_0044 sacred-ash
item_0709 shalour-sable
item_0031 soda-pop
item_0026 super-potion
item_0134 sweet-heart
item_0570 swift-wing
item_0052 zinc
item_0056 dire-hit
item_0055 guard-spec
item_1580 max-mushrooms
item_0060 x-accuracy
item_0057 x-attack
item_0058 x-defense
item_0061 x-sp-atk
item_0062 x-sp-def
item_0059 x-speed
item_1606 ability-patch
item_1588 armorite-ore
item_0795 bottle-cap
item_0699 discount-coupon
item_1129 dynamax-candy
item_1000 dynamax-crystal
item_1604 dynite-ore
item_0078 escape-rope
item_0064 fluffy-tail
item_1581 galarica-twig
item_0796 gold-bottle-cap
item_0093 heart-scale
item_0094 honey
item_0902 max-lure
item_0077 max-repel
item_0111 odd-keystone
item_0575 pass-orb
item_0855 pink-nectar
item_0063 poke-doll
item_0577 poke-toy
item_0856 purple-nectar
item_0853 red-nectar
item_0079 repel
item_0218 soothe-bell
item_0704 strange-souvenir
item_0901 super-lure
item_0076 super-repel
item_1252 wishing-piece
item_0854 yellow-nectar
item_0068 black
item_0065 blue
item_0067 red
item_0069 white
item_0066 yellow
item_0580 balm-mushroom
item_0087 big-mushroom
item_0581 big-nugget
item_0089 big-pearl
item_0583 comet-shard
item_0092 nugget
item_0088 pearl
item_0582 pearl-string
item_0571 pretty-wing
item_0106 rare-bone
item_0588 relic-band
item_0584 relic-copper
item_0590 relic-crown
item_0586 relic-gold
item_0585 relic-silver
item_0589 relic-statue
item_0587 relic-vase
item_0070 shoal-salt
item_0071 shoal-shell
item_0473 slowpoke-tail
item_0091 star-piece
item_0090 stardust
item_0086 tiny-mushroom
item_0075 green
item_1111 berry-sweet
item_1254 chipped-pot
item_1112 clover-sweet
item_1253 cracked-pot
item_0109 dawn-stone
item_0227 deep-sea-scale
item_0226 deep-sea-tooth
item_0235 dragon-scale
item_0324 dubious-disc
item_0108 dusk-stone
item_0322 electirizer
item_0082 fire-stone
item_1113 flower-sweet
item_1582 galarica-cuff
item_1592 galarica-wreath
item_0849 ice-stone
item_0221 kings-rock
item_0085 leaf-stone
item_1110 love-sweet
item_0323 magmarizer
item_1001 metal-coat
item_0081 moon-stone
item_0110 oval-stone
item_0537 prism-scale
item_0321 protector
item_0326 razor-claw
item_0327 razor-fang
item_0325 reaper-cloth
item_1115 ribbon-sweet
item_0647 sachet
item_0107 shiny-stone
item_1114 star-sweet
item_1109 strawberry-sweet
item_0080 sun-stone
item_1116 sweet-apple
item_1117 tart-apple
item_0083 thunder-stone
item_0252 up-grade
item_0084 water-stone
item_0646 whipped-dream
item_0655 amaze
item_0654 boost
item_0096 damp
item_0098 gooey
item_0095 growth
item_0652 rich
item_0097 stable
item_0653 surprise
item_0104 armor
item_1105 bird
item_0100 claw
item_0572 cover
item_1108 dino
item_0102 dome
item_1107 drake
item_1106 fish
item_0101 helix
item_0710 jaw
item_0103 old-amber
item_0573 plume
item_0099 root
item_0711 sail
item_0105 skull
item_0545 absorb-bulb
item_0135 adamant-orb
item_0846 adrenaline-orb
item_0541 air-balloon
item_0223 amulet-coin
item_0640 assault-vest
item_0296 big-root
item_0544 binding-band
item_0241 black-belt
item_0240 black-glasses
item_0281 black-sludge
item_0535 blue-orb
item_1121 blunder-policy
item_0213 bright-powder
item_0118 burn-drive
item_0546 cell-battery
item_0249 charcoal
item_0119 chill-drive
item_0220 choice-band
item_0287 choice-scarf
item_0297 choice-specs
item_0224 cleanse-tag
item_0285 damp-rock
item_0280 destiny-knot
item_0116 douse-drive
item_0250 dragon-fang
item_0547 eject-button
item_1119 eject-pack
item_0881 electric-seed
item_0229 everstone
item_0538 eviolite
item_0268 expert-belt
item_0273 flame-orb
item_0539 float-stone
item_0230 focus-band
item_0275 focus-sash
item_0884 grassy-seed
item_0286 grip-claw
item_0112 griseous-orb
item_0238 hard-stone
item_0284 heat-rock
item_1120 heavy-duty-boots
item_0282 icy-rock
item_0278 iron-ball
item_0279 lagging-tail
item_0234 leftovers
item_0270 life-orb
item_0236 light-ball
item_0269 light-clay
item_0231 lucky-egg
item_0256 lucky-punch
item_0648 luminous-moss
item_0136 lustrous-orb
item_0242 magnet
item_0219 mental-herb
item_0257 metal-powder
item_0277 metronome
item_0239 miracle-seed
item_0883 misty-seed
item_0266 muscle-band
item_0243 mystic-water
item_0246 never-melt-ice
item_0245 poison-barb
item_0271 power-herb
item_0880 protective-pads
item_0882 psychic-seed
item_0217 quick-claw
item_0274 quick-powder
item_0542 red-card
item_0534 red-orb
item_0543 ring-target
item_0540 rocky-helmet
item_1122 room-service
item_1104 rusted-shield
item_1103 rusted-sword
item_0650 safety-goggles
item_0232 scope-lens
item_0244 sharp-beak
item_0295 shed-shell
item_0253 shell-bell
item_0117 shock-drive
item_0251 silk-scarf
item_0222 silver-powder
item_0228 smoke-ball
item_0283 smooth-rock
item_0649 snowball
item_0237 soft-sand
item_0225 soul-dew
item_0247 spell-tag
item_0259 stick
item_0288 sticky-barb
item_0879 terrain-extender
item_0258 thick-club
item_1118 throat-spray
item_0272 toxic-orb
item_0248 twisted-spoon
item_1123 utility-umbrella
item_0639 weakness-policy
item_0214 white-herb
item_0265 wide-lens
item_0267 wise-glasses
item_0276 zoom-lens
item_0719 acro-bike
item_0703 adventure-guide
item_0468 apricorn-box
item_0742 aqua-suit
item_1584 armor-pass
item_1003 auroraticket
item_0115 autograph
item_0455 azure-flute
item_1270 band-autograph
item_0476 basement-key
item_0723 basement-key--goldenrod
item_1004 basement-key--new-mauville
item_0470 berry-pots
item_1005 berry-pouch
item_1006 bicycle
item_0450 bike--green
item_0713 bike--yellow
item_1008 bike-voucher
item_1601 black-mane-hair
item_0472 blue-card
item_1100 camping-gear
item_0475 card-key
item_1605 carrot-seeds
item_1267 catching-charm
item_0474 clear-bell
item_0444 coin-case
item_0635 colress-machine
item_0698 common-stone
item_1009 contest-costume--dress
item_0739 contest-costume--jacket
item_0457 contest-pass
item_0460 coupon-1
item_0461 coupon-2
item_0462 coupon-3
item_1597 crown-pass
item_0617 dark-stone
item_1010 data-card
item_1011 devon-goods
item_0721 devon-parts
item_0735 devon-scope
item_0738 devon-scuba-gear
item_0628 dna-splicers
item_0471 dowsing-machine
item_1012 dowsing-machine-xy
item_0579 dragon-skull
item_0636 dropped-item
item_1013 dropped-item--red
item_1014 dropped-item--yellow
